depth_averaged_u,ws,output
-2.8072893480835344,-2.4999999999999998e-05,0.36902041224302107
-1.775463971705505,-6.666666666666667e-05,0.12582454581926916
-1.775463971705505,-1.666666666666666e-05,0.45817742167322284
-3.5509973177036303,3.3333333333333335e-05,0.7040212926504219
-0.7248789290272919,0.0,0.7046673777585174
-2.292128095564119,-1.666666666666666e-05,0.4578894478294338
-3.241593107273551,9.166666666666667e-05,0.7042628500868738
-1.4496578900468997,-5.833333333333333e-05,0.15632274401589438
-1.4496578900468997,-8.333333333333337e-06,0.5682445893980562
-2.7120962573293084,7.5e-05,0.7042998956875024
-3.1595116102737975,-3.3333333333333335e-05,0.2973977816423452
-2.899358898434617,-5.833333333333333e-05,0.15576656474496992
-3.0752401814046486,-2.4999999999999998e-05,0.3689446169097797
-3.241593107273551,-0.0001,0.05288373173580256
-2.404007563874908,4.166666666666667e-05,0.7042109723302303
-1.0250758373783566,-5.833333333333333e-05,0.15676792406415085
-3.321647014039121,4.166666666666667e-05,0.7040721416843693
-2.7120962573293084,-6.666666666666667e-05,0.1255626631253582
-2.988593584902431,0.0,0.703947858614944
-3.1595116102737975,-5.833333333333333e-05,0.15571965275689267
-0.00484221065953609,3.3333333333333335e-05,1.047948469354205
-2.7120962573293084,3.3333333333333335e-05,0.7041171660239246
-1.775463971705505,2.4999999999999998e-05,0.704276655686313
-1.917723171259461,8.333333333333333e-05,0.7046050568148516
-1.917723171259461,-5e-05,0.19360695166441907
-3.321647014039121,5.000000000000001e-05,0.7041016449765605
-3.476228843053069,7.5e-05,0.704168639359516
-3.3998165539292273,0.0,0.7039200163947996
-2.1745004452685093,-4.166666666666667e-05,0.24003280510839387
-2.292128095564119,5.000000000000001e-05,0.7042793769932928
-1.6207674417008584,5.8333333333333346e-05,0.7045856952753047
-2.292128095564119,1.666666666666666e-05,0.7041047492684682
-3.0752401814046486,1.666666666666666e-05,0.7040052486177898
-3.241593107273551,-2.4999999999999998e-05,0.368903783232331
-2.7120962573293084,5.000000000000001e-05,0.7041902090217543
-2.7120962573293084,0.0001,0.7044097278034307
-3.3998165539292273,-0.0001,0.05287613071103432
-3.5509973177036303,1.666666666666666e-05,0.703966318030185
-2.292128095564119,-6.666666666666667e-05,0.1256545096520961
-1.6207674417008584,5.000000000000001e-05,0.7045220564844956
