,U,C,Q2,Q2L,rho,L,nu_t,Kz,Kq,N_BV,algae,biomass,net_growth
15,-0.3229122602859153,17.49999999999914,0.0007335060840512398,0.00044228429439740054,1000.0,0.602151982129186,0.006394008538593782,0.008056108091289139,0.003262654656927499,0.0,135.1419476093611,10811.968022777673,-1.6666666666666667e-06
16,-0.32596755548051115,17.499999999999137,0.0007218116306076985,0.00045961821740013665,1000.0,0.6358755143628722,0.006698016111166536,0.008439153701640008,0.0034177565481321144,0.0,135.1425763862531,10811.968022777673,-1.6666666666666667e-06
17,-0.32884434888044933,17.49999999999913,0.0007101923236219936,0.0004757302486089116,1000.0,0.6689192681187703,0.006989098160157436,0.00880591331941636,0.0035662639550763883,0.0,135.1432153957444,10811.968022777673,-1.6666666666666667e-06
18,-0.3315624337403218,17.499999999999126,0.0006986435996602111,0.0004906398791943944,1000.0,0.7012711606776344,0.007267263211048215,0.009156397686614942,0.003708181227383356,0.0,135.14386495858182,10811.968022777673,-1.6666666666666667e-06
19,-0.33413848448711486,17.499999999999126,0.0006871615654671138,0.0005043667850372334,1000.0,0.7329191433335523,0.007532522875233442,0.009490621433442762,0.0038435142890806393,0.0,135.14452541282537,10811.968022777673,-1.6666666666666667e-06
20,-0.33658667844649975,17.49999999999913,0.0006757428659462426,0.0005169307776831728,1000.0,0.7638510927786204,0.007784890949840591,0.00980860194410203,0.003972270179336856,0.0,135.14519711446172,10811.968022777673,-1.6666666666666667e-06
21,-0.3389191701596771,17.499999999999126,0.0006643845783387479,0.000528351771963092,1000.0,0.7940547303969939,0.00802438279446582,0.010110358571485291,0.004094456734477897,0.0,135.14588043824668,10811.968022777673,-1.6666666666666667e-06
22,-0.34114645828461393,17.499999999999122,0.0006530841284364857,0.0005386497651611947,1000.0,0.823517559505344,0.008251014893912797,0.010395912086232001,0.004210082364900265,0.0,135.1465757787368,10811.968022777673,-1.6666666666666667e-06
23,-0.34327767297762213,17.49999999999912,0.0006418392244821945,0.0005478448242918701,1000.0,0.8522268141511711,0.00846480454784623,0.010665284285695995,0.004319155896735134,0.0,135.14728355148893,10811.968022777673,-1.6666666666666667e-06
24,-0.3453208035580196,17.49999999999911,0.0006306478049579512,0.0005559570791501317,1000.0,0.8801694152758779,0.008665769648315978,0.010918497713628735,0.0044216864583431804,0.0,135.1480041944193,10811.968022777673,-1.6666666666666667e-06
25,-0.347282880739474,17.49999999999911,0.0006195079971696995,0.0005630067195346083,1000.0,0.9073319314217227,0.00885392851894352,0.011155575457556344,0.004517683398268986,0.0,135.1487381693218,10811.968022777673,-1.6666666666666667e-06
26,-0.3491701238815937,17.499999999999115,0.0006084180841931684,0.0005690139955354385,1000.0,0.9337005420322858,0.009029299797914959,0.011376541001352299,0.004607156225545131,0.0,135.14948596355114,10811.968022777673,-1.6666666666666667e-06
27,-0.3509880610147538,17.499999999999122,0.0005973764782945852,0.0005739992201149885,1000.0,0.9592610019546998,0.009191902352442532,0.011581418117460048,0.004690114566051246,0.0,135.15024809188145,10811.968022777673,-1.6666666666666667e-06
28,-0.3527416274589293,17.49999999999913,0.0005863816993742313,0.0005779827734403384,1000.0,0.9839986061126756,0.009341755216053935,0.011770230787878378,0.0047665681305195905,0.0,135.15102509855464,10811.968022777673,-1.6666666666666667e-06
29,-0.354435247456128,17.499999999999133,0.0005754323573170931,0.000580985108587593,1000.0,1.0078981535521183,0.009478877542579514,0.01194300314618584,0.004836526691059738,0.0,135.15181755953685,10811.968022777673,-1.6666666666666667e-06
30,-0.3560729022072503,17.499999999999133,0.0005645271373915989,0.0005830267583518701,1000.0,1.0309439102091287,0.009603288572432827,0.012099759435054721,0.0049000000639552255,0.0,135.15262608500487,10811.968022777673,-1.6666666666666667e-06
31,-0.35765818694012474,17.499999999999133,0.0005536647880322939,0.0005841283429783266,1000.0,1.0531195698406535,0.009715007607979238,0.012240523975215785,0.004956998097096841,0.0,135.1534513220879,10811.968022777673,-1.6666666666666667e-06
32,-0.35919435906190345,17.499999999999133,0.0005428441104898284,0.0005843105786888615,1000.0,1.0744082126081786,0.009814053995628104,0.012365321142894655,0.0050075306608462124,0.0,135.15429395789533,10811.968022777673,-1.6666666666666667e-06
33,-0.36068437901413475,17.499999999999133,0.0005320639499432568,0.0005835942869229846,1000.0,1.0947922608255662,0.009900447112878503,0.012474175353489604,0.005051607641426663,0.0,135.15515472286543,10811.968022777673,-1.6666666666666667e-06
