Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150882364 function calls (150788378 primitive calls) in 186.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7315    0.005    0.000    0.095    0.000 inspect.py:856(getdoc)
    30/19    0.000    0.000    0.094    0.005 codegen.py:565(_ensure_finalized)
     1852    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.093    0.093 backend_bases.py:1(<module>)
   292/46    0.000    0.000    0.091    0.002 context.py:153(refresh)
        1    0.000    0.000    0.091    0.091 arrayobj.py:4356(codegen)
        1    0.000    0.000    0.089    0.089 arrayobj.py:4164(_empty_nd_impl)
        5    0.000    0.000    0.089    0.018 cpu.py:225(get_executable)
        5    0.000    0.000    0.088    0.018 codegen.py:975(get_pointer_to_function)
   133/95    0.000    0.000    0.088    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
     1705    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   133/95    0.032    0.000    0.088    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.087    0.087 base.py:876(compile_internal)
        1    0.000    0.000    0.086    0.086 frame.py:1(<module>)
        1    0.000    0.000    0.086    0.086 base.py:847(compile_subroutine)
        1    0.000    0.000    0.086    0.086 base.py:809(_compile_subroutine_no_cache)
        1    0.000    0.000    0.085    0.085 assertions.py:1(<module>)
        1    0.000    0.000    0.081    0.081 text.py:1(<module>)
        1    0.000    0.000    0.080    0.080 compiler.py:818(compile_internal)
     9418    0.008    0.000    0.079    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.078    0.078 index_tricks.py:1(<module>)
        1    0.000    0.000    0.078    0.078 pyarrow.py:1(<module>)
        1    0.000    0.000    0.077    0.077 _axes.py:1(<module>)
        3    0.000    0.000    0.076    0.025 registry.py:1(<module>)
        1    0.000    0.000    0.074    0.074 dispatcher.py:1(<module>)
        2    0.000    0.000    0.073    0.036 accessors.py:1(<module>)
        2    0.000    0.000    0.073    0.036 __config__.py:1(<module>)
        1    0.000    0.000    0.072    0.072 compute.py:1(<module>)
        2    0.000    0.000    0.070    0.035 config.py:1(<module>)
        1    0.000    0.000    0.070    0.070 compiler.py:1(<module>)
       12    0.000    0.000    0.070    0.006 codegen.py:723(add_ir_module)
      223    0.000    0.000    0.068    0.000 artist.py:1422(__init__)
      223    0.022    0.000    0.068    0.000 artist.py:1442(get_aliases)
   292/46    0.001    0.000    0.067    0.001 context.py:415(_load_builtins)
        7    0.000    0.000    0.066    0.009 codegen.py:781(_finalize_final_module)
 2628/414    0.005    0.000    0.066    0.000 context.py:428(install_registry)
      294    0.001    0.000    0.066    0.000 _compiler.py:740(compile)
        2    0.000    0.000    0.065    0.032 collections.py:1(<module>)
      169    0.001    0.000    0.064    0.000 pprint.py:57(pformat)
      169    0.000    0.000    0.063    0.000 pprint.py:159(pformat)
 4108/169    0.005    0.000    0.062    0.000 pprint.py:171(_format)
      246    0.000    0.000    0.057    0.000 templates.py:1047(__init__)
        3    0.000    0.000    0.056    0.019 _base.py:1(<module>)
     1100    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      239    0.001    0.000    0.055    0.000 templates.py:1093(_init_once)
      252    0.001    0.000    0.055    0.000 templates.py:900(_get_target_registry)
        1    0.000    0.000    0.053    0.053 colors.py:1(<module>)
        1    0.000    0.000    0.052    0.052 _sketches.py:1(<module>)
        1    0.001    0.001    0.050    0.050 compute.py:306(_make_global_functions)
        7    0.000    0.000    0.050    0.007 codegen.py:996(_finalize_specific)
      261    0.001    0.000    0.050    0.000 compute.py:290(_wrap_function)
        2    0.000    0.000    0.049    0.025 function_base.py:1(<module>)
     1116    0.001    0.000    0.049    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.049    0.049 patches.py:1(<module>)
     1116    0.001    0.000    0.048    0.000 inspect.py:3050(from_callable)
        1    0.000    0.000    0.048    0.048 axes3d.py:1(<module>)
1451/1117    0.007    0.000    0.047    0.000 inspect.py:2470(_signature_from_callable)
      366    0.000    0.000    0.046    0.000 __init__.py:226(compile)
26172/25793    0.007    0.000    0.046    0.000 {built-in method builtins.next}
      287    0.000    0.000    0.045    0.000 entrypoints.py:23(init_all)
        1    0.000    0.000    0.045    0.045 dispatcher.py:281(_compilation_chain_init_hook)
        1    0.000    0.000    0.045    0.045 __init__.py:901(entry_points)
      216    0.000    0.000    0.045    0.000 __init__.py:910(<genexpr>)
      223    0.014    0.000    0.044    0.000 artist.py:1517(get_setters)
       14    0.000    0.000    0.044    0.003 codegen.py:1058(wrapper)
        7    0.000    0.000    0.044    0.006 executionengine.py:94(finalize_object)
        2    0.000    0.000    0.043    0.022 builtins.py:1(<module>)
   259200    0.042    0.000    0.042    0.000 fromnumeric.py:2096(_clip_dispatcher)
        4    0.001    0.000    0.040    0.010 core.py:1(<module>)
     7806    0.004    0.000    0.040    0.000 pprint.py:457(_repr)
        1    0.000    0.000    0.040    0.040 special.py:1(<module>)
        5    0.000    0.000    0.039    0.008 context.py:1(<module>)
      163    0.000    0.000    0.039    0.000 pprint.py:209(_pprint_dict)
     5776    0.003    0.000    0.039    0.000 __init__.py:174(search)
     1496    0.006    0.000    0.039    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.038    0.038 _fontconfig_pattern.py:1(<module>)
       10    0.000    0.000    0.038    0.004 base.py:1(<module>)
        9    0.000    0.000    0.038    0.004 _base.py:729(__init_subclass__)
      294    0.001    0.000    0.037    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.037    0.037 ir_utils.py:1(<module>)
11525/10888    0.028    0.000    0.037    0.000 {built-in method __new__ of type object at 0x55d47024b660}
  710/294    0.002    0.000    0.036    0.000 _parser.py:452(_parse_sub)
     1081    0.003    0.000    0.035    0.000 extending.py:129(decorate)
      292    0.001    0.000    0.035    0.000 context.py:700(load_additional_registries)
  845/306    0.014    0.000    0.035    0.000 _parser.py:512(_parse)
     2274    0.004    0.000    0.035    0.000 <frozen abc>:105(__new__)
       13    0.000    0.000    0.034    0.003 common.py:1(<module>)
  421/266    0.001    0.000    0.034    0.000 functools.py:979(__get__)
       27    0.000    0.000    0.034    0.001 module.py:233(__repr__)
15458/7806    0.005    0.000    0.034    0.000 pprint.py:466(format)
      261    0.003    0.000    0.034    0.000 compute.py:120(_decorate_compute_function)
       54    0.001    0.000    0.034    0.001 postproc.py:71(run)
       27    0.000    0.000    0.034    0.001 module.py:207(_get_body_lines)
        1    0.000    0.000    0.033    0.033 Image.py:1(<module>)
16835/9198    0.011    0.000    0.032    0.000 {method 'format' of 'str' objects}
     2517    0.010    0.000    0.032    0.000 <frozen importlib._bootstrap>:304(acquire)
      115    0.000    0.000    0.032    0.000 values.py:1013(__str__)
        7    0.000    0.000    0.032    0.005 codegen.py:667(_optimize_final_module)
      115    0.000    0.000    0.032    0.000 values.py:1006(descr)
       14    0.000    0.000    0.032    0.002 passmanagers.py:676(run)
        4    0.000    0.000    0.032    0.008 lowering.py:286(create_cfunc_wrapper)
        4    0.000    0.000    0.032    0.008 cpu.py:193(create_cfunc_wrapper)
15458/7806    0.012    0.000    0.032    0.000 pprint.py:554(_safe_repr)
      163    0.005    0.000    0.031    0.000 pprint.py:380(_format_dict_items)
        2    0.000    0.000    0.031    0.016 extending.py:1(<module>)
     1103    0.010    0.000    0.031    0.000 inspect.py:2366(_signature_from_function)
37412/37177    0.009    0.000    0.031    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.031    0.031 charseq.py:1(<module>)
        2    0.000    0.000    0.030    0.015 array.py:1(<module>)
     1106    0.030    0.000    0.030    0.000 {method 'read' of '_io.BufferedReader' objects}
8694/3735    0.004    0.000    0.029    0.000 _utils.py:44(__str__)
      136    0.001    0.000    0.028    0.000 _docstring.py:38(__call__)
  762/677    0.001    0.000    0.028    0.000 typing.py:392(inner)
       30    0.004    0.000    0.028    0.001 __init__.py:847(_rc_params_in_file)
       18    0.000    0.000    0.028    0.002 values.py:999(descr_body)
  126/115    0.000    0.000    0.028    0.000 _docstring.py:79(__call__)
      201    0.001    0.000    0.028    0.000 values.py:1172(descr)
        3    0.000    0.000    0.028    0.009 linalg.py:1(<module>)
19171/3367    0.018    0.000    0.027    0.000 ir.py:318(_rec_list_vars)
    50/48    0.000    0.000    0.027    0.001 __init__.py:73(import_module)
    50/48    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      215    0.000    0.000    0.027    0.000 __init__.py:469(entry_points)
        3    0.000    0.000    0.027    0.009 indexing.py:1(<module>)
        2    0.001    0.000    0.027    0.013 unicode.py:1(<module>)
        1    0.000    0.000    0.027    0.027 cpu.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _laplacian.py:1(<module>)
      294    0.000    0.000    0.026    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.026    0.026 callconv.py:1(<module>)
    23541    0.006    0.000    0.026    0.000 templates.py:1321(new_registrations)
        1    0.000    0.000    0.026    0.026 rules.py:1(<module>)
        1    0.000    0.000    0.026    0.026 defmatrix.py:1(<module>)
     1291    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2288    0.005    0.000    0.025    0.000 base.py:352(install_registry)
       97    0.000    0.000    0.025    0.000 compute.py:113(_scrape_options_class_doc)
       97    0.000    0.000    0.025    0.000 docscrape.py:146(__init__)
        1    0.000    0.000    0.025    0.025 rules.py:15(_init_casting_rules)
       46    0.000    0.000    0.025    0.001 castgraph.py:119(insert_rule)
     7092    0.006    0.000    0.025    0.000 event.py:209(broadcast)
       12    0.000    0.000    0.024    0.002 codegen.py:732(add_llvm_module)
     2348    0.004    0.000    0.024    0.000 values.py:544(_to_string)
     2743    0.001    0.000    0.024    0.000 ir.py:351(list_vars)
        1    0.000    0.000    0.024    0.024 art3d.py:1(<module>)
       46    0.005    0.000    0.024    0.001 castgraph.py:92(propagate)
        1    0.000    0.000    0.024    0.024 lowering.py:273(create_cpython_wrapper)
        1    0.000    0.000    0.024    0.024 cpu.py:181(create_cpython_wrapper)
       70    0.000    0.000    0.024    0.000 typeinfer.py:704(__call__)
   138194    0.023    0.000    0.023    0.000 {method 'startswith' of 'str' objects}
      217    0.001    0.000    0.023    0.000 __init__.py:811(read_text)
       12    0.001    0.000    0.023    0.002 codegen.py:651(_optimize_functions)
219627/217417    0.022    0.000    0.023    0.000 {built-in method builtins.len}
     1242    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       12    0.000    0.000    0.022    0.002 _docstring.py:51(__missing__)
      257    0.018    0.000    0.022    0.000 {built-in method _io.open}
     3280    0.001    0.000    0.022    0.000 ffi.py:134(__getattr__)
        1    0.000    0.000    0.022    0.022 dylib.py:1(<module>)
     1226    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3546    0.004    0.000    0.021    0.000 event.py:404(end_event)
     1081    0.006    0.000    0.021    0.000 templates.py:880(make_overload_template)
     8568    0.011    0.000    0.021    0.000 inspect.py:2712(__init__)
     2929    0.002    0.000    0.021    0.000 ffi.py:78(__exit__)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
32387/32307    0.013    0.000    0.021    0.000 {method 'join' of 'str' objects}
      217    0.000    0.000    0.020    0.000 pathlib.py:1022(read_text)
       14    0.000    0.000    0.020    0.001 lowering.py:796(lower_getitem)
      286    0.000    0.000    0.020    0.000 nrt.py:19(initialize)
       60    0.003    0.000    0.020    0.000 analysis.py:23(compute_use_defs)
      250    0.000    0.000    0.020    0.000 ffi.py:127(_lib)
        1    0.000    0.000    0.020    0.020 overrides.py:1(<module>)
        2    0.000    0.000    0.020    0.010 core.py:206(read_style_directory)
        1    0.000    0.000    0.020    0.020 ffi.py:112(_load_lib)
       59    0.000    0.000    0.020    0.000 enum.py:513(__prepare__)
     2200    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.020    0.020 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.020    0.020 numerictypes.py:1(<module>)
2354/2349    0.003    0.000    0.020    0.000 abstract.py:61(__call__)
        1    0.000    0.000    0.019    0.019 coordinates.py:1(<module>)
        1    0.000    0.000    0.019    0.019 dataarray.py:1(<module>)
        1    0.000    0.000    0.019    0.019 imputils.py:1(<module>)
      217    0.000    0.000    0.019    0.000 pathlib.py:1005(open)
        1    0.000    0.000    0.019    0.019 _axes.py:46(Axes)
     2926    0.001    0.000    0.019    0.000 base.py:1249(exit_fn)
 1686/294    0.007    0.000    0.019    0.000 _compiler.py:37(_compile)
     6069    0.010    0.000    0.019    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.019    0.019 datatree.py:1(<module>)
       59    0.019    0.000    0.019    0.000 enum.py:957(_check_for_existing_members_)
        2    0.000    0.000    0.018    0.009 __init__.py:343(__init__)
     3546    0.004    0.000    0.018    0.000 event.py:390(start_event)
        2    0.018    0.009    0.018    0.009 {built-in method _ctypes.dlopen}
