tidal_phasing,wind_phasing,diatom_biomass,hab_biomass
2.5,5.0,0.21363529983197507,0.4266863475439824
1.5,0.5,0.21365962744780193,0.42669822501492477
0.5,8.0,0.2137524742954679,0.4268691118070933
2.0,17.5,0.21364933495344704,0.4269196448655763
2.5,1.5,0.21360848375465447,0.4266570485685277
2.5,2.0,0.21359549366251002,0.4266451705957337
1.5,21.0,0.21369627312519196,0.426892624958398
2.0,8.0,0.2137056122206518,0.42684764334032266
2.0,6.5,0.21370114226875164,0.4267684035447864
1.0,13.5,0.21368669561968748,0.42693064000731884
0.0,6.5,0.21376370827462923,0.4267973928193228
0.0,8.0,0.21376966568965616,0.42687656206428626
1.0,21.0,0.21371717378524294,0.4268948056961839
1.5,10.5,0.2136725808469716,0.4269260728232415
0.0,19.5,0.213701309865315,0.42695295485636386
1.5,1.0,0.2136429281749234,0.4266748652203655
2.0,3.5,0.2136042394396149,0.4266450409205407
2.5,19.0,0.21363061409504644,0.4269165004785038
2.5,11.5,0.2136409620900097,0.42691455833932984
0.5,20.0,0.21369942351004947,0.42693161958594794
2.5,15.5,0.21363784382180756,0.4269145470653678
3.0,2.0,0.21359715097144588,0.42664748520016543
1.0,22.0,0.21373142498266573,0.4268442708119299
2.5,0.0,0.21367977758938939,0.4267240875868238
0.0,23.5,0.21373022197404642,0.4267617348125813
2.0,6.0,0.21369151168077172,0.4267431057690693
0.5,4.5,0.21367878594827158,0.42668444016368234
3.0,12.0,0.2136263886566353,0.4269108538775826
2.0,22.0,0.21370248419668048,0.4268429780496302
2.0,18.5,0.2136482299691741,0.42691968815707476
1.0,1.0,0.21365510813010624,0.4266763125138019
2.5,13.5,0.21364014768871908,0.4269145470655099
2.0,2.0,0.2136036539322484,0.4266451582520367
0.5,3.0,0.2136447719759494,0.42664808958180384
3.0,16.0,0.21362264518850846,0.42691085387738165
0.5,4.0,0.21366437576212155,0.4266675563495205
1.0,23.5,0.21371858952897732,0.4267553566766882
2.5,4.5,0.21361163233860425,0.4266679427055722
0.5,18.5,0.21369389305275985,0.4269369114174299
0.5,22.0,0.21374567303064432,0.4268468711528191
0.0,17.5,0.213703649442616,0.4269455317883916
0.0,20.0,0.21370926894670086,0.4269382512021976
2.0,21.0,0.21367945014417938,0.4268913240056379
2.0,9.5,0.21368542101353508,0.4268998048240334
2.0,9.0,0.21369758746975456,0.4268854152560039
3.5,14.5,0.21361376105668464,0.4269089982892006
1.5,3.0,0.21361388515738236,0.42664170103333476
0.0,21.0,0.21373925467543856,0.42690187403105584
2.0,1.5,0.21361508378695532,0.426656639456968
3.0,10.0,0.21364782684755862,0.4269009484100789
1.5,7.5,0.21372555746323327,0.4268287387126261
2.5,6.5,0.21368691053611316,0.4267629812185251
2.5,0.5,0.21364564892010385,0.4266988027429038
1.0,17.5,0.21368153015877445,0.4269306400069933
2.5,9.0,0.2136823561816078,0.4268799621469486
1.5,23.5,0.21371037914004828,0.42675281013953076
1.0,17.0,0.21368234861980967,0.42693064000707837
0.5,5.0,0.21370200081859034,0.4267061208916793
1.5,14.5,0.2136698022731601,0.4269249907915474
1.0,19.0,0.2136773436595398,0.42693391035629663
2.5,11.0,0.21364126533155378,0.42691542188364023
0.0,19.0,0.21370001590101767,0.4269500373004127
0.0,13.5,0.21370847172485585,0.4269455317886917
1.5,2.0,0.2136156613291102,0.4266464534269741
1.5,12.5,0.2136712499360231,0.42692499079170854
1.0,21.5,0.21372852833615563,0.4268710003656242
0.5,8.5,0.21375448134757669,0.42688941999566843
3.0,9.0,0.21366915872132686,0.4268758123291859
3.5,13.0,0.21361505639658007,0.4269089982892919
2.5,6.0,0.2136767201523235,0.4267387760577725
0.5,23.5,0.21372291550746791,0.42675837994538773
5.0,14.5,0.21374889568406313,0.4269646850259829
3.0,8.5,0.21368068351185246,0.426861819681293
0.5,15.5,0.21369875632816002,0.42693680006227025
2.5,2.5,0.2135882090451576,0.4266389440671777
0.5,2.0,0.21364249907722657,0.42665126452508423
2.0,3.0,0.21359940693585366,0.4266394250810268
2.5,7.5,0.2136959935262547,0.4268189700881806
0.5,1.0,0.2136669994984363,0.42667851014842045
3.0,11.5,0.21362638663936281,0.4269108988233278
0.5,21.0,0.21373251859152403,0.42689761715254815
0.5,5.5,0.2137222221966003,0.426735477595416
4.0,22.5,0.21378649033069738,0.4268344315162437
2.0,16.5,0.21365089647406516,0.42691964486559786
1.0,20.0,0.21368380076078888,0.4269271757753142
2.5,10.0,0.21366192882885632,0.42690559699845465
4.0,16.5,0.21360967203362954,0.4269116149972361
0.5,13.5,0.2137006246208908,0.42693680006236556
0.0,13.0,0.21370858324525138,0.4269455317886828
2.5,20.0,0.21362502439176287,0.4269187737269506
4.0,15.5,0.2136111783744629,0.4269116149973464
1.0,0.5,0.21367310811787252,0.42669929183272276
3.0,7.0,0.2136780427925165,0.42679270733931923
0.5,16.5,0.2136972862237934,0.4269368000622132
2.0,0.5,0.21364992184231452,0.4266977337714487
1.0,16.0,0.21368390762143433,0.42693064000715
1.5,11.5,0.21367146415327365,0.42692498534064466
5.5,4.0,0.2140262889567286,0.4267532224270063
0.0,12.0,0.21370853526361352,0.4269455317887001
3.0,16.5,0.213621844793235,0.42691085387731753
1.5,13.5,0.21367073253186566,0.4269249907916397
3.5,22.5,0.21372395865234717,0.4268215160605604
4.0,6.5,0.21366599517645862,0.4267591873860054
3.5,3.0,0.2135915456992793,0.42664472281607063
3.5,14.0,0.21361430053976374,0.4269089982892245
2.0,1.0,0.213632216014322,0.4266742694168342
1.0,6.5,0.21373199942833102,0.4267823385016779
1.5,5.0,0.21366854095862373,0.4266950578310336
2.0,18.0,0.21364858415808943,0.42691964486552564
1.0,7.5,0.21374011440753587,0.42683489319970497
4.5,11.5,0.2136435729268232,0.42692536037675766
2.5,15.0,0.21363855562046502,0.4269145470654083
5.5,7.0,0.2139803080421566,0.42689904039682225
