pmax,ws
0.08375,-2.4999999999999998e-06
0.08375,-1.666666666666667e-06
0.08375,-8.333333333333327e-07
0.08375,0.0
0.08375,8.333333333333344e-07
0.08375,1.666666666666667e-06
0.08375,2.5000000000000015e-06
0.08375,3.333333333333334e-06
0.08375,4.166666666666667e-06
0.08375,5.000000000000001e-06
0.08375,5.833333333333336e-06
0.08375,6.666666666666667e-06
0.08375,7.500000000000001e-06
0.08375,8.333333333333335e-06
0.08375,9.16666666666667e-06
0.08375,1e-05
0.1045625,-1e-05
0.1045625,-9.166666666666668e-06
0.1045625,-8.333333333333334e-06
0.1045625,-7.500000000000001e-06
0.1045625,-6.666666666666667e-06
0.1045625,-5.833333333333334e-06
0.1045625,-5e-06
0.1045625,-4.166666666666667e-06
0.1045625,-3.3333333333333333e-06
0.1045625,-2.4999999999999998e-06
0.1045625,-1.666666666666667e-06
0.1045625,-8.333333333333327e-07
0.1045625,0.0
0.1045625,8.333333333333344e-07
0.1045625,1.666666666666667e-06
0.1045625,2.5000000000000015e-06
0.1045625,3.333333333333334e-06
0.1045625,4.166666666666667e-06
0.1045625,5.000000000000001e-06
0.1045625,5.833333333333336e-06
0.1045625,6.666666666666667e-06
0.1045625,7.500000000000001e-06
0.1045625,8.333333333333335e-06
0.1045625,9.16666666666667e-06
0.1045625,1e-05
0.12537500000000001,-1e-05
0.12537500000000001,-9.166666666666668e-06
0.12537500000000001,-8.333333333333334e-06
0.12537500000000001,-7.500000000000001e-06
0.12537500000000001,-6.666666666666667e-06
0.12537500000000001,-5.833333333333334e-06
0.12537500000000001,-5e-06
0.12537500000000001,-4.166666666666667e-06
0.12537500000000001,-3.3333333333333333e-06
0.12537500000000001,-2.4999999999999998e-06
0.12537500000000001,-1.666666666666667e-06
0.12537500000000001,-8.333333333333327e-07
0.12537500000000001,0.0
0.12537500000000001,8.333333333333344e-07
0.12537500000000001,1.666666666666667e-06
0.12537500000000001,2.5000000000000015e-06
0.12537500000000001,3.333333333333334e-06
0.12537500000000001,4.166666666666667e-06
0.12537500000000001,5.000000000000001e-06
0.12537500000000001,5.833333333333336e-06
0.12537500000000001,6.666666666666667e-06
0.12537500000000001,7.500000000000001e-06
0.12537500000000001,8.333333333333335e-06
0.12537500000000001,9.16666666666667e-06
0.12537500000000001,1e-05
0.1461875,-1e-05
0.1461875,-9.166666666666668e-06
0.1461875,-8.333333333333334e-06
0.1461875,-7.500000000000001e-06
0.1461875,-6.666666666666667e-06
0.1461875,-5.833333333333334e-06
0.1461875,-5e-06
